Jar,Species,Treatment,Day,Replicate,Sample.Day,Community,Species.Richness,Abundance
96,P.caudatum,U0.5,0,3,1,P.caudatum+Loxocephallus,2,1549.5
97,Blepharisma,U0.5,0,1,1,P.caudatum+Blepharisma,2,154.5
97,P.caudatum,U0.5,0,1,1,P.caudatum+Blepharisma,2,1549.5
98,Blepharisma,U0.5,0,2,1,P.caudatum+Blepharisma,2,154.5
98,P.caudatum,U0.5,0,2,1,P.caudatum+Blepharisma,2,1549.5
99,Blepharisma,U0.5,0,3,1,P.caudatum+Blepharisma,2,154.5
99,P.caudatum,U0.5,0,3,1,P.caudatum+Blepharisma,2,1549.5
100,Blepharisma,U0.5,0,1,1,Blepharisma+Loxocephallus,2,154.5
100,Loxocephallus,U0.5,0,1,1,Blepharisma+Loxocephallus,2,49.5
101,Blepharisma,U0.5,0,2,1,Blepharisma+Loxocephallus,2,154.5
101,Loxocephallus,U0.5,0,2,1,Blepharisma+Loxocephallus,2,49.5
102,Blepharisma,U0.5,0,3,1,Blepharisma+Loxocephallus,2,154.5
102,Loxocephallus,U0.5,0,3,1,Blepharisma+Loxocephallus,2,49.5
103,Blepharisma,U0.5,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,103
103,Loxocephallus,U0.5,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,33
103,P.caudatum,U0.5,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
104,Blepharisma,U0.5,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,103
104,Loxocephallus,U0.5,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,33
104,P.caudatum,U0.5,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
105,Blepharisma,U0.5,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,103
105,Loxocephallus,U0.5,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,33
105,P.caudatum,U0.5,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
1,P.caudatum,S,4,1,1,P.caudatum,1,3200
2,P.caudatum,S,4,2,1,P.caudatum,1,2400
3,P.caudatum,S,4,3,1,P.caudatum,1,3000
4,Loxocephallus,S,4,1,1,Loxocephallus,1,100
5,Loxocephallus,S,4,2,1,Loxocephallus,1,200
6,Loxocephallus,S,4,3,1,Loxocephallus,1,300
7,Blepharisma,S,4,1,1,Blepharisma,1,600
8,Blepharisma,S,4,2,1,Blepharisma,1,900
9,Blepharisma,S,4,3,1,Blepharisma,1,900
10,Loxocephallus,S,4,1,1,P.caudatum+Loxocephallus,2,20
10,P.caudatum,S,4,1,1,P.caudatum+Loxocephallus,2,3900
11,Loxocephallus,S,4,2,1,P.caudatum+Loxocephallus,2,2
11,P.caudatum,S,4,2,1,P.caudatum+Loxocephallus,2,3400
12,Loxocephallus,S,4,3,1,P.caudatum+Loxocephallus,2,50
12,P.caudatum,S,4,3,1,P.caudatum+Loxocephallus,2,4200
13,Blepharisma,S,4,1,1,P.caudatum+Blepharisma,2,500
13,P.caudatum,S,4,1,1,P.caudatum+Blepharisma,2,3600
14,Blepharisma,S,4,2,1,P.caudatum+Blepharisma,2,300
14,P.caudatum,S,4,2,1,P.caudatum+Blepharisma,2,2600
15,Blepharisma,S,4,3,1,P.caudatum+Blepharisma,2,300
15,P.caudatum,S,4,3,1,P.caudatum+Blepharisma,2,3700
16,Blepharisma,S,4,1,1,Blepharisma+Loxocephallus,2,1300
16,Loxocephallus,S,4,1,1,Blepharisma+Loxocephallus,2,100
17,Blepharisma,S,4,2,1,Blepharisma+Loxocephallus,2,1000
17,Loxocephallus,S,4,2,1,Blepharisma+Loxocephallus,2,25
