,Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
167,103,Blepharisma,0,15,3,P.caudatum + Loxocephalus + Blepharisma,3,100
168,103,Loxocephallus,0,15,3,P.caudatum + Loxocephalus + Blepharisma,3,100
169,103,P.caudatum,0,15,3,P.caudatum + Loxocephalus + Blepharisma,3,100
170,104,Blepharisma,0,15,4,P.caudatum + Loxocephalus + Blepharisma,3,100
171,104,Loxocephallus,0,15,4,P.caudatum + Loxocephalus + Blepharisma,3,100
172,104,P.caudatum,0,15,4,P.caudatum + Loxocephalus + Blepharisma,3,100
173,105,Blepharisma,0,15,5,P.caudatum + Loxocephalus + Blepharisma,3,100
174,105,Loxocephallus,0,15,5,P.caudatum + Loxocephalus + Blepharisma,3,100
175,105,P.caudatum,0,15,5,P.caudatum + Loxocephalus + Blepharisma,3,100
176,106,Blepharisma,0,20,1,P.caudatum + Loxocephalus + Blepharisma,3,100
177,106,Loxocephallus,0,20,1,P.caudatum + Loxocephalus + Blepharisma,3,100
178,106,P.caudatum,0,20,1,P.caudatum + Loxocephalus + Blepharisma,3,100
179,107,Blepharisma,0,20,2,P.caudatum + Loxocephalus + Blepharisma,3,100
180,107,Loxocephallus,0,20,2,P.caudatum + Loxocephalus + Blepharisma,3,100
181,107,P.caudatum,0,20,2,P.caudatum + Loxocephalus + Blepharisma,3,100
182,108,Blepharisma,0,20,3,P.caudatum + Loxocephalus + Blepharisma,3,100
183,108,Loxocephallus,0,20,3,P.caudatum + Loxocephalus + Blepharisma,3,100
184,108,P.caudatum,0,20,3,P.caudatum + Loxocephalus + Blepharisma,3,100
185,109,Blepharisma,0,20,4,P.caudatum + Loxocephalus + Blepharisma,3,100
186,109,Loxocephallus,0,20,4,P.caudatum + Loxocephalus + Blepharisma,3,100
187,109,P.caudatum,0,20,4,P.caudatum + Loxocephalus + Blepharisma,3,100
188,110,Blepharisma,0,20,5,P.caudatum + Loxocephalus + Blepharisma,3,100
189,110,Loxocephallus,0,20,5,P.caudatum + Loxocephalus + Blepharisma,3,100
190,110,P.caudatum,0,20,5,P.caudatum + Loxocephalus + Blepharisma,3,100
191,111,Colpidium,0,15,1,P.caudatum + Loxocephalus + Colpidium,3,100
192,111,Loxocephallus,0,15,1,P.caudatum + Loxocephalus + Colpidium,3,100
193,111,P.caudatum,0,15,1,P.caudatum + Loxocephalus + Colpidium,3,100
194,112,Colpidium,0,15,2,P.caudatum + Loxocephalus + Colpidium,3,100
195,112,Loxocephallus,0,15,2,P.caudatum + Loxocephalus + Colpidium,3,100
196,112,P.caudatum,0,15,2,P.caudatum + Loxocephalus + Colpidium,3,100
197,113,Colpidium,0,15,3,P.caudatum + Loxocephalus + Colpidium,3,100
198,113,Loxocephallus,0,15,3,P.caudatum + Loxocephalus + Colpidium,3,100
199,113,P.caudatum,0,15,3,P.caudatum + Loxocephalus + Colpidium,3,100
200,114,Colpidium,0,15,4,P.caudatum + Loxocephalus + Colpidium,3,100
201,114,Loxocephallus,0,15,4,P.caudatum + Loxocephalus + Colpidium,3,100
202,114,P.caudatum,0,15,4,P.caudatum + Loxocephalus + Colpidium,3,100
203,115,Colpidium,0,15,5,P.caudatum + Loxocephalus + Colpidium,3,100
204,115,Loxocephallus,0,15,5,P.caudatum + Loxocephalus + Colpidium,3,100
205,115,P.caudatum,0,15,5,P.caudatum + Loxocephalus + Colpidium,3,100
206,116,Colpidium,0,20,1,P.caudatum + Loxocephalus + Colpidium,3,100
207,116,Loxocephallus,0,20,1,P.caudatum + Loxocephalus + Colpidium,3,100
208,116,P.caudatum,0,20,1,P.caudatum + Loxocephalus + Colpidium,3,100
209,117,Colpidium,0,20,2,P.caudatum + Loxocephalus + Colpidium,3,100
210,117,Loxocephallus,0,20,2,P.caudatum + Loxocephalus + Colpidium,3,100
211,117,P.caudatum,0,20,2,P.caudatum + Loxocephalus + Colpidium,3,100
212,118,Colpidium,0,20,3,P.caudatum + Loxocephalus + Colpidium,3,100
213,118,Loxocephallus,0,20,3,P.caudatum + Loxocephalus + Colpidium,3,100
