Temperature,Species,Replicate,Date,Observer,Density
25,colpidium,4,19/11/2021,Ellie,0.6
25,lepadella,1,19/11/2021,Francesco,0.008
25,lepadella,2,19/11/2021,Francesco,0.004
25,lepadella,3,19/11/2021,Francesco,0.006
25,lepadella,4,19/11/2021,Francesco,0.005
25,p_aurelia,1,19/11/2021,Ellie,0.14
25,p_aurelia,2,19/11/2021,Ellie,0.14
25,p_aurelia,3,19/11/2021,Ellie,0.02
25,p_aurelia,4,19/11/2021,Ellie,0.2
25,p_caudatum,1,19/11/2021,Ellie,0.07
25,p_caudatum,2,19/11/2021,Ellie,0.11
25,p_caudatum,3,19/11/2021,Ellie,0.1
25,p_caudatum,4,19/11/2021,Ellie,0.08
25,philodina,1,19/11/2021,Ellie,0.011
25,philodina,2,19/11/2021,Ellie,0.007
25,philodina,3,19/11/2021,Ellie,0.008
25,spirostomum,1,19/11/2021,Francesco,0.0005
25,spirostomum,2,19/11/2021,Francesco,0.000333333
25,spirostomum,3,19/11/2021,Francesco,0.0015
25,spirostomum,4,19/11/2021,Francesco,0.002
20,blepharisma,1,19/11/2021,Francesco,0.014
20,blepharisma,2,19/11/2021,Francesco,0.007
20,blepharisma,3,19/11/2021,Francesco,0.008
20,blepharisma,4,19/11/2021,Francesco,0.007
20,colpidium,1,19/11/2021,Francesco,0.85
20,colpidium,2,19/11/2021,Francesco,0.8
20,colpidium,3,19/11/2021,Francesco,0.8
20,colpidium,4,19/11/2021,Francesco,0.8
20,lepadella,1,19/11/2021,Francesco,0.003
20,lepadella,2,19/11/2021,Francesco,0.004
20,lepadella,3,19/11/2021,Francesco,0.004
20,lepadella,4,19/11/2021,Francesco,0.0005
20,p_aurelia,1,19/11/2021,Ellie,0.09
20,p_aurelia,2,19/11/2021,Ellie,0.04
20,p_aurelia,3,19/11/2021,Ellie,0.08
20,p_aurelia,4,19/11/2021,Ellie,0.03
20,p_caudatum,1,19/11/2021,Ellie,0.09
20,p_caudatum,2,19/11/2021,Ellie,0.035
20,p_caudatum,3,19/11/2021,Ellie,0.07
20,p_caudatum,4,19/11/2021,Ellie,0.075
20,philodina,1,19/11/2021,Ellie,0.001
20,philodina,2,19/11/2021,Ellie,0.0005
20,philodina,3,19/11/2021,Ellie,0.003
20,philodina,4,19/11/2021,Ellie,0.001
30,blepharisma,1,22/11/2021,Ellie,0.24
30,blepharisma,2,22/11/2021,Ellie,0.19
30,blepharisma,3,22/11/2021,Ellie,0.11
30,blepharisma,4,22/11/2021,Ellie,0.12
30,lepadella,1,22/11/2021,Ellie,0.024
30,lepadella,2,22/11/2021,Ellie,0.044
30,lepadella,3,22/11/2021,Ellie,0.058
30,lepadella,4,22/11/2021,Ellie,0.05
30,p_aurelia,1,22/11/2021,Francesco,0.16
30,p_aurelia,2,22/11/2021,Francesco,0.18
30,p_aurelia,3,22/11/2021,Francesco,0.16
30,p_aurelia,4,22/11/2021,Francesco,0.3
30,p_caudatum,1,22/11/2021,Francesco,0.08
30,p_caudatum,2,22/11/2021,Francesco,0.14
30,p_caudatum,3,22/11/2021,Francesco,0.22
30,p_caudatum,4,22/11/2021,Francesco,0.2
30,philodina,1,22/11/2021,Ellie,0.012
30,philodina,2,22/11/2021,Ellie,0.022
30,philodina,4,22/11/2021,Ellie,0.019
30,spirostomum,1,22/11/2021,Ellie,0.002
30,spirostomum,2,22/11/2021,Ellie,0.002
30,spirostomum,3,22/11/2021,Ellie,0.002
30,spirostomum,4,22/11/2021,Ellie,0.002
25,blepharisma,1,22/11/2021,Ellie,0.08
25,blepharisma,2,22/11/2021,Ellie,0.09
25,blepharisma,3,22/11/2021,Ellie,0.1
25,blepharisma,4,22/11/2021,Ellie,0.09
25,colpidium,1,22/11/2021,Ellie,0.8
25,colpidium,2,22/11/2021,Ellie,0.9
25,colpidium,3,22/11/2021,Ellie,1
25,colpidium,4,22/11/2021,Ellie,0.4
25,lepadella,1,22/11/2021,Francesco,0.054
25,lepadella,2,22/11/2021,Francesco,0.07
25,lepadella,3,22/11/2021,Francesco,0.063333333
25,lepadella,4,22/11/2021,Francesco,0.015
25,p_aurelia,1,22/11/2021,Ellie,0.15
25,p_aurelia,2,22/11/2021,Ellie,0.12
25,p_aurelia,3,22/11/2021,Ellie,0.23
25,p_aurelia,4,22/11/2021,Ellie,0.11
25,p_caudatum,1,22/11/2021,Ellie,0.11
25,p_caudatum,2,22/11/2021,Ellie,0.19
25,p_caudatum,3,22/11/2021,Ellie,0.05
25,p_caudatum,4,22/11/2021,Ellie,0.11
25,philodina,1,22/11/2021,Ellie,0.025
25,philodina,2,22/11/2021,Ellie,0.025
25,philodina,3,22/11/2021,Ellie,0.025
25,spirostomum,1,22/11/2021,Francesco,0
25,spirostomum,2,22/11/2021,Francesco,0
25,spirostomum,3,22/11/2021,Francesco,0.00016
25,spirostomum,4,22/11/2021,Francesco,0
20,blepharisma,1,22/11/2021,Francesco,0.07
20,blepharisma,2,22/11/2021,Francesco,0.04
20,blepharisma,3,22/11/2021,Francesco,0.08
20,blepharisma,4,22/11/2021,Francesco,0.1
20,colpidium,1,22/11/2021,Francesco,0.7
20,colpidium,2,22/11/2021,Francesco,1
20,colpidium,3,22/11/2021,Francesco,1.15
20,colpidium,4,22/11/2021,Francesco,0.5
20,lepadella,1,22/11/2021,Francesco,0.02
20,lepadella,2,22/11/2021,Francesco,0.012
20,lepadella,3,22/11/2021,Francesco,0.016
20,lepadella,4,22/11/2021,Francesco,0.016
20,p_aurelia,1,22/11/2021,Ellie,0.15
20,p_aurelia,2,22/11/2021,Ellie,0.1
20,p_aurelia,3,22/11/2021,Ellie,0.22
20,p_aurelia,4,22/11/2021,Ellie,0.12
20,p_caudatum,1,22/11/2021,Ellie,0.06
20,p_caudatum,2,22/11/2021,Ellie,0.075
20,p_caudatum,3,22/11/2021,Ellie,0.095
20,p_caudatum,4,22/11/2021,Ellie,0.11
20,philodina,1,22/11/2021,Ellie,0.001
20,philodina,2,22/11/2021,Ellie,0.002
20,philodina,3,22/11/2021,Ellie,0.002
20,philodina,4,22/11/2021,Ellie,0.004
15,blepharisma,1,22/11/2021,Francesco,0.002
15,blepharisma,2,22/11/2021,Francesco,0.002
15,blepharisma,3,22/11/2021,Francesco,0.002
15,blepharisma,4,22/11/2021,Francesco,0.002
15,colpidium,1,22/11/2021,Ellie,0.002
15,colpidium,2,22/11/2021,Ellie,0.002
15,colpidium,3,22/11/2021,Ellie,0.002
15,colpidium,4,22/11/2021,Ellie,0.002
15,lepadella,1,22/11/2021,Ellie,0.002
15,lepadella,2,22/11/2021,Ellie,0.002
15,lepadella,3,22/11/2021,Ellie,0.002
15,lepadella,4,22/11/2021,Ellie,0.002
15,p_aurelia,1,22/11/2021,Francesco,0.002
15,p_aurelia,2,22/11/2021,Francesco,0.002
15,p_aurelia,3,22/11/2021,Francesco,0.002
15,p_aurelia,4,22/11/2021,Francesco,0.002
15,p_caudatum,1,22/11/2021,Ellie,0.002
15,p_caudatum,2,22/11/2021,Ellie,0.002
15,p_caudatum,3,22/11/2021,Ellie,0.002
15,p_caudatum,4,22/11/2021,Ellie,0.002
15,philodina,1,22/11/2021,Francesco,0.002
15,philodina,2,22/11/2021,Francesco,0.002
15,philodina,3,22/11/2021,Francesco,0.002
15,philodina,4,22/11/2021,Francesco,0.002
15,spirostomum,1,22/11/2021,Ellie,0.002
15,spirostomum,2,22/11/2021,Ellie,0.002
15,spirostomum,3,22/11/2021,Ellie,0.002
15,spirostomum,4,22/11/2021,Ellie,0.002
30,blepharisma,1,23/11/2021,Ellie,0.22
30,blepharisma,2,23/11/2021,Ellie,0.18
30,blepharisma,3,23/11/2021,Ellie,0.12
30,blepharisma,4,23/11/2021,Ellie,0.14
30,lepadella,1,23/11/2021,Ellie,0.018
30,lepadella,2,23/11/2021,Ellie,0.02
30,lepadella,3,23/11/2021,Ellie,0.022
30,lepadella,4,23/11/2021,Ellie,0.02
30,p_aurelia,1,23/11/2021,Francesco,0.19
30,p_aurelia,2,23/11/2021,Francesco,0.1
30,p_aurelia,3,23/11/2021,Francesco,0.1
30,p_aurelia,4,23/11/2021,Francesco,0.28
30,p_caudatum,1,23/11/2021,Francesco,0.15
